标题,类型,名称,位置,resblockroom,area,resblockroom1,resblockroom2,resblockroom3,关键词,数量,描述,second
"
          合租·联通家属院 4居室 南卧        ","
                  精选          /
                金水-汽配大世界-联通家属院
        /
        25.00㎡
        /南        /
          4室1厅2卫        
          /
          中楼层                        （28层）
                  
      ",金水,汽配大世界,联通家属院,租住保障,公寓,精装,"
            瓶盖公寓          ",550 元/月,550,"
            广告          ",/,集中供暖,随时看房,,9天前维护,,"
          /
          中楼层                        （28层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg15/#contentList
"
          合租·绿地璀璨天城王砦安置区 3居室 北卧        ","
                  精选          /
                惠济区-省体育中心-绿地璀璨天城王砦安置区
        /
        23.00㎡
        /北        /
          3室1厅3卫        
          /
          中楼层                        （34层）
                  
      ",惠济区,省体育中心,绿地璀璨天城王砦安置区,公寓,独立卫生间,月租,"
            遇见青苹果          ",900 元/月,900,"
            广告          ",/,近地铁,独立阳台,押一付一,2天前维护,,"
          /
          中楼层                        （34层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·开祥天下城 3室2厅 南        ","
                金水区-大石桥-开祥天下城
        /
        130.00㎡
        /南        /
          3室2厅2卫        
          /
          中楼层                        （10层）
                  
      ",金水区,大石桥,开祥天下城,近地铁,集中供暖,双卫生间,3天前维护,4800 元/月,4800,,,随时看房,,,,,"
          /
          中楼层                        （10层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·碧桂园西湖名城五号院 3室2厅 西        ","
                郑州高新技术产业开发区-中原万达-碧桂园西湖名城五号院
        /
        140.00㎡
        /西        /
          3室2厅2卫        
          /
          低楼层                        （32层）
                  
      ",郑州高新技术产业开发区,中原万达,碧桂园西湖名城五号院,精装,集中供暖,双卫生间,10天前维护,2500 元/月,2500,,,,,,,,"
          /
          低楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·正商佳仕阁 3室2厅 北        ","
                管城回族区-幸福港湾-正商佳仕阁
        /
        85.00㎡
        /北        /
          3室2厅1卫        
          /
          高楼层                        （19层）
                  
      ",管城回族区,幸福港湾,正商佳仕阁,近地铁,精装,集中供暖,2天前维护,1650 元/月,1650,,,,,,,,"
          /
          高楼层                        （19层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·裕华满园 3室2厅 南/北        ","
                郑州高新技术产业开发区-高新新郑大-裕华满园
        /
        112.83㎡
        /南 北        /
          3室2厅1卫        
          /
          中楼层                        （33层）
                  
      ",郑州高新技术产业开发区,高新新郑大,裕华满园,近地铁,精装,集中供暖,7天前维护,1700 元/月,1700,,,随时看房,,,,,"
          /
          中楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          合租·国龙绿城怡园二期 5居室 北卧        ","
                  精选          /
                郑东新区-郑州东站-国龙绿城怡园二期
        /
        18.00㎡
        /北        /
          5室1厅2卫        
          /
          高楼层                        （31层）
                  
      ",郑东新区,郑州东站,国龙绿城怡园二期,租住保障,公寓,月租,"
            帕丁顿公寓          ",700 元/月,700,"
            广告          ",/,近地铁,精装,集中供暖,16天前维护,,"
          /
          高楼层                        （31层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·美盛象湖100金悦园 2室1厅 南/北        ","
                郑东新区-白沙-美盛象湖100金悦园
        /
        38.00㎡
        /南 北        /
          2室1厅1卫        
          /
          中楼层                        （19层）
                  
      ",郑东新区,白沙,美盛象湖100金悦园,精装,集中供暖,随时看房,4天前维护,1400 元/月,1400,,,,,,,,"
          /
          中楼层                        （19层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          合租·绿地璀璨天城王砦安置区 4居室 南卧        ","
                  精选          /
                惠济区-省体育中心-绿地璀璨天城王砦安置区
        /
        25.00㎡
        /南        /
          4室1厅4卫        
          /
          中楼层                        （34层）
                  
      ",惠济区,省体育中心,绿地璀璨天城王砦安置区,公寓,独立卫生间,月租,"
            遇见青苹果          ",960 元/月,960,"
            广告          ",/,近地铁,独立阳台,押一付一,2天前维护,,"
          /
          中楼层                        （34层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·丰乐花苑 3室2厅 南/北        ","
                金水区-绿茵广场-丰乐花苑
        /
        135.00㎡
        /南 北        /
          3室2厅2卫        
          /
          中楼层                        （7层）
                  
      ",金水区,绿茵广场,丰乐花苑,精装,双卫生间,随时看房,9天前维护,2200 元/月,2200,,,,,,,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          合租·绿地璀璨天城王砦安置区 3居室 南卧        ","
                  精选          /
                惠济区-省体育中心-绿地璀璨天城王砦安置区
        /
        23.00㎡
        /南        /
          3室1厅3卫        
          /
          高楼层                        （34层）
                  
      ",惠济区,省体育中心,绿地璀璨天城王砦安置区,公寓,独立卫生间,月租,"
            遇见青苹果          ",920 元/月,920,"
            广告          ",/,精装,独立阳台,集中供暖,2天前维护,,"
          /
          高楼层                        （34层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          合租·齐礼阎小区7号院 5居室 东南卧        ","
                  精选          /
                二七-兴华南街-齐礼阎小区7号院
        /
        18.00㎡
        /东南        /
          5室0厅2卫        
          /
          中楼层                        （34层）
                  
      ",二七,兴华南街,齐礼阎小区7号院,新上,租住保障,公寓,"
            港岸公寓          ",501 元/月,501,"
            广告          ",/,月租,拎包入住,精装,5天前维护,,"
          /
          中楼层                        （34层）
                  ",集中供暖,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          合租·绿地璀璨天城王砦安置区 3居室 南卧        ","
                  精选          /
                惠济区-省体育中心-绿地璀璨天城王砦安置区
        /
        20.00㎡
        /南        /
          3室1厅3卫        
          /
          低楼层                        （34层）
                  
      ",惠济区,省体育中心,绿地璀璨天城王砦安置区,公寓,独立卫生间,月租,"
            遇见青苹果          ",920 元/月,920,"
            广告          ",/,精装,独立阳台,集中供暖,2天前维护,,"
          /
          低楼层                        （34层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·北苑小区 3室2厅 南        ","
                金水区-徐寨-北苑小区
        /
        137.46㎡
        /南        /
          3室2厅1卫        
          /
          中楼层                        （7层）
                  
      ",金水区,徐寨,北苑小区,近地铁,,,"
            链家          ",2900 元/月,2900,,,,,,2天前维护,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·锦龙居小区 2室1厅 东        ","
                二七区-正商城-锦龙居小区
        /
        71.00㎡
        /东        /
          2室1厅1卫        
          /
          低楼层                        （6层）
                  
      ",二七区,正商城,锦龙居小区,近地铁,,,8天前维护,1500 元/月,1500,,,,,,,,"
          /
          低楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·长城康桥华城 1室1厅 南        ","
                二七区-老郑大-长城康桥华城
        /
        55.00㎡
        /南        /
          1室1厅1卫        
          /
          低楼层                        （30层）
                  
      ",二七区,老郑大,长城康桥华城,精装,随时看房,,9天前维护,1300 元/月,1300,,,,,,,,"
          /
          低楼层                        （30层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          合租·汇宝花园 5居室 南卧        ","
                  精选          /
                金水区-省中医院-汇宝花园
        /
        20.00㎡
        /南        /
          5室0厅2卫        
          /
          高楼层                        （6层）
                  
      ",金水区,省中医院,汇宝花园,租住保障,公寓,月租,"
            瓶盖公寓          ",600 元/月,600,"
            广告          ",/,集中供暖,随时看房,,8天前维护,,"
          /
          高楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·居易国际城 3室1厅 南/北        ","
                新郑市-南龙湖商圈-居易国际城
        /
        103.00㎡
        /南 北        /
          3室1厅1卫        
          /
          高楼层                        （4层）
                  
      ",新郑市,南龙湖商圈,居易国际城,随时看房,,,2天前维护,1150 元/月,1150,,,,,,,,"
          /
          高楼层                        （4层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·东方骏景 3室1厅 东/南        ","
                二七区-老郑大-东方骏景
        /
        96.00㎡
        /东 南        /
          3室1厅1卫        
          /
          中楼层                        （33层）
                  
      ",二七区,老郑大,东方骏景,精装,集中供暖,随时看房,2天前维护,2300 元/月,2300,,,,,,,,"
          /
          中楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·森林里 3室2厅 东        ","
                中牟县-中牟城区-森林里
        /
        126.00㎡
        /东        /
          3室2厅2卫        
          /
          中楼层                        （11层）
                  
      ",中牟县,中牟城区,森林里,集中供暖,双卫生间,,4天前维护,1600 元/月,1600,,,,,,,,"
          /
          中楼层                        （11层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·升龙天汇6号院 1室1厅 北        ","
                中原区-月季公园-升龙天汇6号院
        /
        45.00㎡
        /北        /
          1室1厅1卫        
          /
          低楼层                        （20层）
                  
      ",中原区,月季公园,升龙天汇6号院,精装,集中供暖,,2天前维护,1100 元/月,1100,,,,,,,,"
          /
          低楼层                        （20层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·圣菲城 4室2厅 南        ","
                金水区-徐寨-圣菲城
        /
        162.00㎡
        /南        /
          4室2厅2卫        
          /
          高楼层                        （16层）
                  
      ",金水区,徐寨,圣菲城,近地铁,双卫生间,随时看房,3天前维护,4700 元/月,4700,,,,,,,,"
          /
          高楼层                        （16层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·岗杜街1号院 2室1厅 东        ","
                金水区-大石桥-岗杜街1号院
        /
        53.00㎡
        /东        /
          2室1厅1卫        
          /
          高楼层                        （6层）
                  
      ",金水区,大石桥,岗杜街1号院,近地铁,随时看房,,2天前维护,1000 元/月,1000,,,,,,,,"
          /
          高楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·紫光花园 2室1厅 南        ","
                管城回族区-正商城-紫光花园
        /
        84.00㎡
        /南        /
          2室1厅1卫        
          /
          中楼层                        （6层）
                  
      ",管城回族区,正商城,紫光花园,近地铁,精装,随时看房,1天前维护,1650 元/月,1650,,,,,,,,"
          /
          中楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·碧源月湖 1室1厅 南        ","
                惠济区-北大学城-碧源月湖
        /
        40.00㎡
        /南        /
          1室1厅1卫        
          /
          中楼层                        （19层）
                  
      ",惠济区,北大学城,碧源月湖,近地铁,精装,,13天前维护,1900 元/月,1900,,,,,,,,"
          /
          中楼层                        （19层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·黄河路83号院 3室1厅 西/北        ","
                金水区-大石桥-黄河路83号院
        /
        64.00㎡
        /西 北        /
          3室1厅1卫        
          /
          高楼层                        （6层）
                  
      ",金水区,大石桥,黄河路83号院,集中供暖,随时看房,,2天前维护,1200 元/月,1200,,,,,,,,"
          /
          高楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·东关花园小区 3室2厅 东        ","
                荥阳市-荥阳城区-东关花园小区
        /
        140.00㎡
        /东        /
          3室2厅2卫        
          /
          高楼层                        （6层）
                  
      ",荥阳市,荥阳城区,东关花园小区,精装,双卫生间,,10天前维护,850 元/月,850,,,,,,,,"
          /
          高楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·碧源月湖 1室1厅 南        ","
                惠济区-北大学城-碧源月湖
        /
        45.00㎡
        /南        /
          1室1厅1卫        
          /
          高楼层                        （28层）
                  
      ",惠济区,北大学城,碧源月湖,精装,随时看房,,5天前维护,1200 元/月,1200,,,,,,,,"
          /
          高楼层                        （28层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·淮北街4号院 2室1厅 南        ","
                二七区-市财政局-淮北街4号院
        /
        59.05㎡
        /南        /
          2室1厅1卫        
          /
          高楼层                        （7层）
                  
      ",二七区,市财政局,淮北街4号院,随时看房,,,4天前维护,1000 元/月,1000,,,,,,,,"
          /
          高楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·路劲国际城 4室2厅 南/北        ","
                中牟县-中牟城区-路劲国际城
        /
        143.00㎡
        /南 北        /
          4室2厅2卫        
          /
          低楼层                        （33层）
                  
      ",中牟县,中牟城区,路劲国际城,精装,集中供暖,双卫生间,6天前维护,2700 元/月,2700,,,,,,,,"
          /
          低楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·水木年华小区 3室2厅 南/北        ","
                郑东新区-象湖-水木年华小区
        /
        140.00㎡
        /南 北        /
          3室2厅2卫        
          /
          中楼层                        （18层）
                  
      ",郑东新区,象湖,水木年华小区,业主自荐,精装,集中供暖,3天前维护,1800 元/月,1800,,,双卫生间,随时看房,,,,"
          /
          中楼层                        （18层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg16/#contentList
"
          整租·政六街23号院 4室1厅 南        ","
                金水区-花园路-政六街23号院
        /
        116.12㎡
        /南        /
          4室1厅1卫        
          /
          中楼层                        （7层）
                  
      ",金水区,花园路,政六街23号院,近地铁,集中供暖,随时看房,3天前维护,1600 元/月,1600,,,,,,,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·鑫苑世家 1室1厅 北        ","
                金水区-文博广场-鑫苑世家
        /
        57.00㎡
        /北        /
          1室1厅1卫        
          /
          高楼层                        （33层）
                  
      ",金水区,文博广场,鑫苑世家,近地铁,精装,集中供暖,2天前维护,1500 元/月,1500,,,随时看房,,,,,"
          /
          高楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·正弘数码公寓 1室0厅 西南        ","
                金水区-文博广场-正弘数码公寓
        /
        24.54㎡
        /西南        /
          1室0厅1卫        
          /
          高楼层                        （32层）
                  
      ",金水区,文博广场,正弘数码公寓,近地铁,精装,集中供暖,"
            链家          ",900 元/月,900,,,随时看房,,,今天维护,,"
          /
          高楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·正弘数码公寓 1室1厅 南        ","
                金水区-文博广场-正弘数码公寓
        /
        40.00㎡
        /南        /
          1室1厅1卫        
          /
          中楼层                        （32层）
                  
      ",金水区,文博广场,正弘数码公寓,新上,近地铁,精装,"
            链家          ",1500 元/月,1500,,,集中供暖,,,6天前维护,,"
          /
          中楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·正弘蓝堡湾 4室2厅 南/北        ","
                金水区-文博广场-正弘蓝堡湾
        /
        194.00㎡
        /南 北        /
          4室2厅2卫        
          /
          高楼层                        （31层）
                  
      ",金水区,文博广场,正弘蓝堡湾,近地铁,集中供暖,双卫生间,2天前维护,4000 元/月,4000,,,随时看房,,,,,"
          /
          高楼层                        （31层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          合租·周新花园 4居室 南卧        ","
                  精选          /
                中原区-中原万达-周新花园
        /
        25.00㎡
        /南        /
          4室1厅1卫        
          /
          中楼层                        （32层）
                  
      ",中原区,中原万达,周新花园,公寓,独立卫生间,月租,"
            吉嘉公寓          ",999 元/月,999,"
            广告          ",/,精装,独立阳台,集中供暖,9天前维护,,"
          /
          中楼层                        （32层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·河南机电学校家属院 3室2厅 南/北        ","
                金水区-文博广场-河南机电学校家属院
        /
        110.00㎡
        /南 北        /
          3室2厅1卫        
          /
          高楼层                        （6层）
                  
      ",金水区,文博广场,河南机电学校家属院,近地铁,精装,集中供暖,"
            链家          ",2400 元/月,2400,,,随时看房,,,8天前维护,,"
          /
          高楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·正弘蓝堡湾Ⅱ 2室2厅 南        ","
                金水区-文博广场-正弘蓝堡湾Ⅱ
        /
        87.00㎡
        /南        /
          2室2厅1卫        
          /
          中楼层                        （32层）
                  
      ",金水区,文博广场,正弘蓝堡湾Ⅱ,近地铁,精装,集中供暖,"
            链家          ",2800 元/月,2800,,,随时看房,,,8天前维护,,"
          /
          中楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·鑫苑世家 2室1厅 西北        ","
                金水区-文博广场-鑫苑世家
        /
        81.68㎡
        /西北        /
          2室1厅1卫        
          /
          中楼层                        （33层）
                  
      ",金水区,文博广场,鑫苑世家,新上,近地铁,精装,"
            链家          ",3000 元/月,3000,,,集中供暖,随时看房,,2天前维护,,"
          /
          中楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·正弘数码公寓 1室1厅 西        ","
                金水区-文博广场-正弘数码公寓
        /
        40.00㎡
        /西        /
          1室1厅1卫        
          /
          高楼层                        （32层）
                  
      ",金水区,文博广场,正弘数码公寓,新上,近地铁,精装,"
            链家          ",1500 元/月,1500,,,集中供暖,,,2天前维护,,"
          /
          高楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·正弘蓝堡湾 3室1厅 南        ","
                金水区-文博广场-正弘蓝堡湾
        /
        200.00㎡
        /南        /
          3室1厅1卫        
          /
          高楼层                        （32层）
                  
      ",金水区,文博广场,正弘蓝堡湾,近地铁,集中供暖,,"
            链家          ",3800 元/月,3800,,,,,,8天前维护,,"
          /
          高楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·白庙小区 3室1厅 南        ","
                金水区-文博广场-白庙小区
        /
        90.00㎡
        /南        /
          3室1厅1卫        
          /
          低楼层                        （31层）
                  
      ",金水区,文博广场,白庙小区,,,,"
            链家          ",1700 元/月,1700,,,,,,9天前维护,,"
          /
          低楼层                        （31层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·东十里铺社区 2室2厅 南/北        ","
                郑东新区-通泰路-东十里铺社区
        /
        110.00㎡
        /南 北        /
          2室2厅1卫        
          /
          高楼层                        （7层）
                  
      ",郑东新区,通泰路,东十里铺社区,近地铁,集中供暖,,"
            链家          ",1800 元/月,1800,,,,,,8天前维护,,"
          /
          高楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·海知音 2室1厅 南        ","
                郑东新区-通泰路-海知音
        /
        76.00㎡
        /南        /
          2室1厅1卫        
          /
          中楼层                        （12层）
                  
      ",郑东新区,通泰路,海知音,近地铁,精装,随时看房,2天前维护,1800 元/月,1800,,,,,,,,"
          /
          中楼层                        （12层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          合租·周新花园 4居室 南卧        ","
                  精选          /
                中原区-中原万达-周新花园
        /
        16.00㎡
        /南        /
          4室1厅1卫        
          /
          中楼层                        （32层）
                  
      ",中原区,中原万达,周新花园,公寓,月租,精装,"
            吉嘉公寓          ",600 元/月,600,"
            广告          ",/,集中供暖,押一付一,随时看房,9天前维护,,"
          /
          中楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·龙鑫苑 3室2厅 南/北        ","
                郑东新区-通泰路-龙鑫苑
        /
        127.78㎡
        /南 北        /
          3室2厅1卫        
          /
          中楼层                        （6层）
                  
      ",郑东新区,通泰路,龙鑫苑,近地铁,集中供暖,随时看房,"
            链家          ",2400 元/月,2400,,,,,,14天前维护,,"
          /
          中楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          合租·正商城祥园 4居室 南卧        ","
                  精选          /
                二七区-长江一号-正商城祥园
        /
        30.00㎡
        /南        /
          4室1厅3卫        
          /
          低楼层                        （34层）
                  
      ",二七区,长江一号,正商城祥园,公寓,月租,近地铁,"
            遇见青苹果          ",935 元/月,935,"
            广告          ",/,精装,集中供暖,随时看房,今天维护,,"
          /
          低楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          合租·周新花园 4居室 南卧        ","
                  精选          /
                中原区-中原万达-周新花园
        /
        16.00㎡
        /南        /
          4室1厅1卫        
          /
          高楼层                        （32层）
                  
      ",中原区,中原万达,周新花园,公寓,月租,精装,"
            吉嘉公寓          ",620 元/月,620,"
            广告          ",/,集中供暖,押一付一,随时看房,9天前维护,,"
          /
          高楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·海知音 1室1厅 北        ","
                郑东新区-通泰路-海知音
        /
        35.14㎡
        /北        /
          1室1厅1卫        
          /
          低楼层                        （12层）
                  
      ",郑东新区,通泰路,海知音,近地铁,精装,随时看房,9天前维护,1350 元/月,1350,,,,,,,,"
          /
          低楼层                        （12层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·东十里铺社区 1室1厅 南/北        ","
                郑东新区-通泰路-东十里铺社区
        /
        60.00㎡
        /南 北        /
          1室1厅1卫        
          /
          中楼层                        （5层）
                  
      ",郑东新区,通泰路,东十里铺社区,近地铁,集中供暖,随时看房,"
            链家          ",1200 元/月,1200,,,,,,1天前维护,,"
          /
          中楼层                        （5层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          合租·汉飞城市公园二期 5居室 南卧        ","
                  精选          /
                金水区-汽配大世界-汉飞城市公园二期
        /
        18.00㎡
        /南        /
          5室1厅2卫        
          /
          高楼层                        （6层）
                  
      ",金水区,汽配大世界,汉飞城市公园二期,租住保障,公寓,独立卫生间,"
            豫城公寓          ",950 元/月,950,"
            广告          ",/,拎包入住,近地铁,精装,10天前维护,,"
          /
          高楼层                        （6层）
                  ",独立阳台,押一付一,随时看房,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·铭轩国际 3室2厅 南/北        ","
                郑东新区-通泰路-铭轩国际
        /
        129.00㎡
        /南 北        /
          3室2厅1卫        
          /
          高楼层                        （26层）
                  
      ",郑东新区,通泰路,铭轩国际,集中供暖,,,4天前维护,2200 元/月,2200,,,,,,,,"
          /
          高楼层                        （26层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·八里庙社区二区 1室1厅 北        ","
                郑东新区-通泰路-八里庙社区二区
        /
        60.00㎡
        /北        /
          1室1厅1卫        
          /
          高楼层                        （21层）
                  
      ",郑东新区,通泰路,八里庙社区二区,新上,近地铁,精装,"
            链家          ",1600 元/月,1600,,,集中供暖,,,4天前维护,,"
          /
          高楼层                        （21层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          合租·六合幸福门二期 4居室 南卧        ","
                  精选          /
                中原区-汽车西站-六合幸福门二期
        /
        18.00㎡
        /南        /
          4室1厅1卫        
          /
          低楼层                        （33层）
                  
      ",中原区,汽车西站,六合幸福门二期,公寓,月租,近地铁,"
            吉嘉公寓          ",770 元/月,770,"
            广告          ",/,精装,独立阳台,集中供暖,9天前维护,,"
          /
          低楼层                        （33层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          合租·君悦城 5居室 北卧        ","
                  精选          /
                金水区-财富广场-君悦城
        /
        12.00㎡
        /北        /
          5室1厅1卫        
          /
          低楼层                        （33层）
                  
      ",金水区,财富广场,君悦城,租住保障,公寓,月租,"
            房满多公寓          ",599 元/月,599,"
            广告          ",/,近地铁,精装,集中供暖,11天前维护,,"
          /
          低楼层                        （33层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          合租·六合幸福门 5居室 北卧        ","
                  精选          /
                中原区-热电厂-六合幸福门
        /
        20.00㎡
        /北        /
          5室1厅2卫        
          /
          中楼层                        （30层）
                  
      ",中原区,热电厂,六合幸福门,公寓,月租,近地铁,"
            吉嘉公寓          ",599 元/月,599,"
            广告          ",/,精装,集中供暖,押一付一,9天前维护,,"
          /
          中楼层                        （30层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          合租·六合幸福门三期 5居室 西南卧        ","
                  精选          /
                中原区-交警二大队-六合幸福门三期
        /
        17.00㎡
        /西南        /
          5室1厅1卫        
          /
          高楼层                        （32层）
                  
      ",中原区,交警二大队,六合幸福门三期,公寓,月租,拎包入住,"
            吉嘉公寓          ",501 元/月,501,"
            广告          ",/,近地铁,精装,集中供暖,4天前维护,,"
          /
          高楼层                        （32层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·东十里铺社区 3室2厅 南/北        ","
                郑东新区-通泰路-东十里铺社区
        /
        105.00㎡
        /南 北        /
          3室2厅1卫        
          /
          中楼层                        （7层）
                  
      ",郑东新区,通泰路,东十里铺社区,近地铁,集中供暖,,11天前维护,1700 元/月,1700,,,,,,,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·润城时光里 2室2厅 南        ","
                郑东新区-通泰路-润城时光里
        /
        86.00㎡
        /南        /
          2室2厅1卫        
          /
          高楼层                        （26层）
                  
      ",郑东新区,通泰路,润城时光里,集中供暖,随时看房,,11天前维护,1500 元/月,1500,,,,,,,,"
          /
          高楼层                        （26层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·未来国际 4室2厅 南/北        ","
                郑东新区-CBD-未来国际
        /
        200.00㎡
        /南 北        /
          4室2厅2卫        
          /
          中楼层                        （24层）
                  
      ",郑东新区,CBD,未来国际,新上,近地铁,精装,1天前维护,8500 元/月,8500,,,双卫生间,,,,,"
          /
          中楼层                        （24层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg17/#contentList
"
          整租·康桥金域上郡3号院 2室1厅 西        ","
                二七区-市财政局-康桥金域上郡3号院
        /
        89.00㎡
        /西        /
          2室1厅1卫        
          /
          高楼层                        （34层）
                  
      ",二七区,市财政局,康桥金域上郡3号院,精装,集中供暖,,"
            链家          ",2200 元/月,2200,,,,,,4天前维护,,"
          /
          高楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          合租·红专路39号院 3居室 北卧        ","
                  精选          /
                金水区-花园路-红专路39号院
        /
        24.00㎡
        /北        /
          3室1厅1卫        
          /
          中楼层                        （7层）
                  
      ",金水区,花园路,红专路39号院,公寓,月租,精装,"
            贰号公寓          ",700 元/月,700,"
            广告          ",/,集中供暖,押一付一,随时看房,9天前维护,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
